Gen,Mean_DCT_Cx,Mean_DCT_Tx
hsa-miR-188-3p-002106,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-18a-002422,4.066661376033688e-4,2.554589421259112e-4
hsa-miR-18b-002217,5.716871261637291e-4,3.570702007859897e-4
hsa-miR-190-000489,3.4911191831247368e-6,1.6075914743042944e-5
hsa-miR-191-002299,0.13120375716887142,0.09761513862063538
hsa-miR-192-000491,2.564647598069032e-4,2.9815444737767323e-4
hsa-miR-193a-3p-002250,4.012471971964402e-6,2.770621718707821e-6
hsa-miR-193a-5p-002281,0.003495031695693795,0.004875329526776923
hsa-miR-193b-002367,0.03843566411525635,0.04824988402481834
hsa-miR-194-000493,2.493131999363163e-4,2.2687835798893287e-4
hsa-miR-195-000494,0.0023662816372864996,0.0025624749039006045
hsa-miR-196b-002215,8.767159122173335e-6,1.8297419065688432e-5
hsa-miR-197-000497,0.009553234632456456,0.010946391948472424
hsa-miR-198-002273,4.5065143004228166e-6,1.1713768595396386e-5
hsa-miR-199a-000498,5.6620582314901414e-5,1.0207605078280795e-4
hsa-miR-199a-3p-002304,0.017626688558649645,0.027821055339377416
hsa-miR-199b-000500,8.146476472013426e-6,2.9830744684946995e-5
hsa-miR-19a-000395,0.0028309980047422946,0.00219683969587857
hsa-miR-19b-000396,0.1526782798260152,0.09159684721947296
hsa-miR-200a-000502,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-200b-002251,1.6450454989940327e-4,1.3413674296231488e-4
hsa-miR-200c-002300,0.0018582379277522598,0.0011024321698262993
hsa-miR-202-002363,1.1133187508937528e-6,3.396050947706251e-6
hsa-miR-203-000507,9.046522973410811e-6,2.0278080771482447e-5
hsa-miR-204-000508,0.0015721389938149245,0.0010681650212807326
hsa-miR-205-000509,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-208-000511,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-208b-002290,1.1133187508937528e-6,4.910555399708969e-6
hsa-miR-20a-000580,0.03421626217130012,0.02019890015202813
hsa-miR-20b-001014,0.0029350187806144097,0.0019094964022938119
hsa-miR-21-000397,0.12543002482690174,0.12239647189983477
hsa-miR-210-000512,0.019596838513904424,0.016365643720512028
hsa-miR-211-000514,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-212-000515,2.988556600079683e-4,4.673837025289281e-4
hsa-miR-214-002306,0.008665430700924829,0.013953433681353399
hsa-miR-215-000518,3.4791469410743034e-4,9.283719739824947e-5
hsa-miR-216a-002220,1.1133187508937528e-6,1.3286135914701108e-6
hsa-miR-216b-002326,2.0389400837861418e-6,1.2200853253523625e-6
hsa-miR-217-002337,1.492118118719643e-6,6.320262615341414e-6
hsa-miR-218-000521,0.0028837036343956107,0.002766802315262581
hsa-miR-219-000522,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-219-1-3p-002095,6.222207036843649e-6,2.346466523768247e-6
hsa-miR-219-2-3p-002390,0.06026597649028321,0.054059583665001985
hsa-miR-22-000398,0.008611206496726668,0.009573076506720212
hsa-miR-220-000523,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-220b-002206,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-220c-002211,1.1133187508937528e-6,1.2200853253523625e-6
hsa-miR-221-000524,0.046931191834549135,0.04582263190276986
hsa-miR-222-002276,0.4424725947713634,0.4600090365715335
hsa-miR-223-002295,9.727350484705533e-5,1.0227943355454749e-4
hsa-miR-224-002099,7.099273835506596e-4,8.785103494099918e-4
hsa-miR-23a-000399,0.009088272514963388,0.0157650145814526
hsa-miR-23b-000400,1.1133187508937528e-6,0.002012492279839672
hsa-miR-24-000402,0.5378424026093526,1.05614014297113
